label_index,label,field_count,f1-score,precision,recall
30,Trees,910,0.0,,0.0
10,Spring Rye,17,0.0,,0.0
9,Winter Rye,193,0.0,,0.0
26,Beans,336,0.0,,0.0
29,Turnips,11,0.0,,0.0
13,Millet,9,0.0,0.0,0.0
11,Spring Wheat,298,0.006557377049180328,0.14285714285714285,0.003355704697986577
24,Soybeans,33,0.06547619047619048,0.03442879499217527,0.6666666666666666
31,Vineyard,34,0.1702127659574468,0.13333333333333333,0.23529411764705882
14,Sorghum,105,0.17105263157894737,0.2765957446808511,0.12380952380952381
